VIX,VIY,VGX,VGY,OIX,OIY
0.9487179487179488,0.9535759096612296,0.0,0.4712153518123667,1.0,0.0
0.4733333333333333,0.0,0.7857142857142857,0.7523584905660378,0.0,1.0
0.0,0.4970273483947682,1.0,0.7079107505070994,0.9297848244620612,0.0
0.7672955974842768,0.23747016706443916,1.0,1.0,0.0,0.0
0.0,0.9048178613396004,0.6097560975609756,0.5407124681933843,0.2042648709315376,0.0
0.49375,0.7459807073954984,0.33858267716535434,0.0,1.0,0.0
0.6722689075630253,0.1009771986970684,0.4563758389261745,0.0673076923076923,0.1095290251916758,1.0
0.8503937007874016,0.7957920792079208,0.8055555555555556,0.8312655086848635,0.0,1.0
0.30935251798561153,0.0,0.3941176470588235,0.12876254180602004,0.0,1.0
0.5297619047619048,0.8985849056603774,0.3,0.16548463356973994,1.0,0.0
0.35964912280701755,0.4453125,0.9827586206896552,0.12863534675615212,0.09700427960057062,1.0
0.2751677852348993,0.6327868852459017,0.7322834645669292,0.14834578441835647,0.926751592356688,1.0
0.024096385542168683,0.36610608020698576,0.5342465753424658,0.4182217343578485,1.0,1.0
0.7531645569620253,0.9900142653352354,0.567741935483871,0.6835585585585585,1.0,0.0
0.2138364779874214,0.8280701754385965,0.2582417582417583,0.1439509954058193,0.9100877192982456,1.0
1.0,0.0,0.7631578947368421,0.0,0.8683628318584071,1.0
0.0,0.0,0.978021978021978,0.2866174920969441,0.03804347826086957,1.0
0.8,0.2197070572569907,0.0,0.9288389513108616,0.9291819291819292,1.0
0.9864864864864864,0.9775533108866442,0.5282051282051282,0.9465116279069768,0.9317647058823528,0.0
0.7315436241610739,0.2594339622641509,0.951219512195122,1.0,0.07445442875481388,1.0
0.98159509202454,0.17623497997329773,1.0,1.0,0.0,1.0
0.5985401459854015,0.7479954180985109,0.85625,1.0,0.779510022271715,0.0
1.0,0.13050847457627118,0.8394160583941606,0.1682743837084673,0.04608294930875576,1.0
0.2295081967213115,0.8263665594855305,0.12290502793296088,0.23752711496746204,0.930785123966942,1.0
0.0308641975308642,0.0,0.5182481751824818,0.053491827637444284,0.06871035940803383,1.0
1.0,1.0,0.5154639175257731,0.9283667621776504,0.11931818181818182,0.0
1.0,0.07150715071507151,0.2452830188679245,1.0,0.0,0.0
0.4733333333333333,0.8214716525934861,0.4946236559139785,0.7629716981132075,0.2912621359223301,0.0
0.6216216216216216,0.291970802919708,0.0,0.15598548972188633,1.0,1.0
0.6762589928057554,1.0,1.0,0.6252900232018561,0.0,1.0
0.3684210526315789,0.0,0.935064935064935,0.9332443257676902,0.0986842105263158,1.0
0.7350427350427351,0.7816411682892906,0.7880794701986755,0.947075208913649,0.498792270531401,0.0
1.0,1.0,0.6242038216560509,0.5472127417519909,0.0,1.0
0.5384615384615384,0.4125714285714286,0.640625,0.5811111111111111,0.04101838755304102,0.0
0.0,0.21408839779005528,0.09285714285714286,0.0,0.8994910941475827,1.0
0.2169811320754717,0.051700680272108834,0.25308641975308643,0.0,0.0,1.0
1.0,0.0,0.4960629921259842,0.4328732747804266,0.2397727272727273,1.0
0.6115107913669064,0.5835654596100278,0.981132075471698,0.8202020202020202,0.1414141414141414,0.0
0.7863247863247863,0.8688981868898187,0.8882978723404256,0.03151862464183381,0.01602136181575434,0.0
0.0,0.830316742081448,0.13966480446927373,0.2848200312989045,1.0,0.0
1.0,0.2371323529411765,0.07051282051282051,0.05737704918032788,0.0,1.0
1.0,0.3981191222570533,0.21875,0.7008733624454149,0.41086186540732,0.0
0.678082191780822,0.3491891891891892,0.3699421965317919,0.21160409556313994,0.759958071278826,1.0
0.2,0.0,0.6369863013698629,0.189520624303233,0.8261964735516373,1.0
0.01324503311258278,0.0,0.30337078651685395,0.2348804500703235,0.964248159831756,1.0
1.0,0.8506056527590848,0.0,0.20474777448071216,0.1807542262678804,1.0
0.7974683544303798,0.0,0.5592105263157895,0.06580366774541532,0.5397727272727273,1.0
0.4453125,0.0,0.3636363636363637,1.0,0.0,0.0
0.12422360248447205,0.39848812095032393,0.5245901639344263,0.980964467005076,0.9833506763787722,0.0
0.490566037735849,0.4591611479028698,0.3614457831325301,0.2354260089686099,0.9648682559598496,0.0
0.5838509316770186,0.2364793213149523,1.0,0.8412348401323043,0.0,0.0
0.7053571428571429,0.5743534482758621,0.5929203539823009,0.9734806629834254,0.0836734693877551,0.0
0.0,0.7087517934002869,0.19786096256684493,0.5429864253393665,0.9650924024640656,1.0
0.0,0.8315450643776824,0.1875,0.4301675977653631,1.0,0.0
0.32413793103448274,0.8985823336968375,0.24293785310734464,0.7489481065918654,1.0,0.0
0.2198581560283688,0.007832898172323759,0.18095238095238092,0.8358913813459268,1.0,1.0
0.15053763440860216,0.5989159891598916,0.6489361702127661,0.9021505376344086,0.2877939529675252,0.0
0.04827586206896552,1.0,0.6176470588235294,0.4482758620689655,0.06128702757916241,0.0
0.953846153846154,0.4043419267299864,0.6163522012578616,1.0,0.0,1.0
0.8467153284671532,1.0,0.9333333333333332,0.9156214367160777,0.0,0.0
1.0,0.3655629139072848,0.3373493975903614,0.13892078071182548,0.0,1.0
0.2125,0.027644230769230768,0.053892215568862284,0.19285714285714287,0.4130177514792899,1.0
1.0,0.7746319365798414,0.7168674698795181,0.3348164627363737,0.0,1.0
1.0,1.0,0.04697986577181208,0.8688524590163934,0.9175675675675676,0.0
0.0,0.0,0.9147286821705426,0.7740693196405648,0.0,1.0
0.7357142857142858,0.0,0.11320754716981132,0.4559859154929578,1.0,1.0
0.18292682926829268,0.8762769580022701,0.2383419689119171,0.7587991718426501,0.4931506849315068,0.0
0.7214285714285714,0.5621118012422359,0.2556390977443609,0.7520858164481525,0.0,0.0
0.007092198581560284,0.5823293172690763,0.03184713375796178,0.024360535931790498,0.8998849252013809,0.0
0.4029850746268657,0.7332457293035479,1.0,0.7210103329506314,0.7076591154261057,0.0
0.30612244897959184,0.19226393629124008,0.31213872832369943,0.2474576271186441,1.0,1.0
0.94,0.0,0.20454545454545456,0.0,1.0,1.0
0.3133333333333333,0.3447782546494993,0.1032608695652174,0.4699186991869919,0.7683956574185766,1.0
